def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
!def(BADRAND),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
def(_Windows),
def(PM3D),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(LITE),
def(TEST_STRFTIME),
True,
!def(lint),
!def(HAVE_ERFC),
def(PIPES),
!def(NO_LOCALE_H),
!def(MSDOS),
def(PIPE_IPC),
def(VMS),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
!def(HAVE_ERF),
(!def(MSDOS)&!def(VMS)),
def(MSDOS),
(def(VMS)&!def(BSD)),
def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
!def(RELEASE_VERSION),
