def(NO_LOCALE_H),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BADRAND),
(!def(MSDOS)&!def(VMS)),
!def(lint),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(_Windows),
def(TEST_STRFTIME),
!def(MSDOS),
def(BITMAPDEBUG),
def(PM3D),
True,
def(__ZTC__),
(def(VMS)&!def(BSD)),
!def(LITE),
def(PIPES),
!def(HAVE_ERFC),
def(USE_MOUSE),
!def(USE_SYSTEM_TIME),
!def(BADRAND),
!def(BITMAPDEBUG),
def(TEST_TIME),
!def(NO_LOCALE_H),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(PIPE_IPC),
