def(__ZTC__),
def(USE_SYSTEM_TIME),
def(PIPE_IPC),
def(TEST_TIME),
def(_Windows),
!def(LITE),
!def(MSDOS),
!def(HAVE_ERF),
(!def(MSDOS)&!def(VMS)),
def(VMS),
def(TEST_STRFTIME),
!def(RELEASE_VERSION),
!def(lint),
(def(VMS)&!def(BSD)),
def(RELEASE_VERSION),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
def(PM3D),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
True,
!def(BITMAPDEBUG),
def(BADRAND),
def(USE_MOUSE),
def(MSDOS),
