(!def(_Windows)&def(__TURBOC__)),
def(_Windows),
!def(OSK),
!def(NO_LOCALE_H),
def(VMS),
!def(lint),
def(NO_LOCALE_H),
def(__ZTC__),
def(SYSTEM_TIME),
!def(MSDOS),
def(HAVE_SYS_UTSNAME_H),
True,
def(TEST_TIME),
def(TEST_STRFTIME),
def(UNIXPLOT),
def(LITE),
!def(SYSTEM_TIME),
def(TEST_TERMDOC),
def(DJGPP),
!def(LITE),
