!def(BADRAND),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(MSDOS),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
def(USE_MOUSE),
!def(PROTOTYPES),
True,
def(TEST_STRFTIME),
def(__ZTC__),
def(PM3D),
!def(BITMAPDEBUG),
def(VMS),
!def(MSDOS),
def(RELEASE_VERSION),
def(PIPES),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
def(BADRAND),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(lint),
!def(HAVE_ERF),
def(PROTOTYPES),
