def(__ZTC__),
!def(MSDOS),
def(TEST_TERMDOC),
def(MSDOS),
True,
!def(RELEASE_VERSION),
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(BADRAND),
def(TEST_TIME),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
!def(HAVE_ERFC),
!def(BADRAND),
!def(lint),
!def(NO_LOCALE_H),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
!def(LITE),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
def(RELEASE_VERSION),
def(VMS),
