!def(PROTOTYPES),
!def(BITMAPDEBUG),
!def(LITE),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(PIPES),
!def(RELEASE_VERSION),
def(PM3D),
def(TEST_TIME),
def(VMS),
def(__ZTC__),
!def(lint),
!def(USE_SYSTEM_TIME),
True,
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
def(PROTOTYPES),
!def(GP_ISVAR),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
!def(MSDOS),
def(MSDOS),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
def(USE_MOUSE),
