!def(HAVE_ERF),
def(TEST_TERMDOC),
def(PM3D),
def(TEST_STRFTIME),
def(VMS),
True,
def(_Windows),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
def(PIPES),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
(def(X11)&def(USE_MOUSE)),
def(PIPE_IPC),
!def(RELEASE_VERSION),
!def(MSDOS),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(lint),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
def(__ZTC__),
def(MSDOS),
def(BITMAPDEBUG),
def(BADRAND),
def(NO_LOCALE_H),
!def(BADRAND),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
