def(TEST_TERMDOC),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
def(USE_MOUSE),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
!def(BITMAPDEBUG),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
True,
def(__ZTC__),
def(PIPE_IPC),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(_Windows),
!def(BADRAND),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(VMS),
!def(HAVE_ERF),
def(RELEASE_VERSION),
def(BITMAPDEBUG),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
!def(RELEASE_VERSION),
!def(LITE),
def(PM3D),
def(BADRAND),
