def(TEST_TERMDOC),
!def(NO_LOCALE_H),
def(DJGPP),
def(TEST_TIME),
!def(LITE),
!def(MSDOS),
def(__ZTC__),
def(_Windows),
def(LITE),
def(HAVE_SYS_UTSNAME_H),
def(TEST_STRFTIME),
!def(lint),
def(NO_LOCALE_H),
True,
!def(SYSTEM_TIME),
(!def(_Windows)&def(__TURBOC__)),
def(VMS),
!def(OSK),
def(UNIXPLOT),
def(SYSTEM_TIME),
