!def(PROTOTYPES),
def(PIPES),
!def(GP_ISVAR),
def(TEST_STRFTIME),
def(PROTOTYPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_MOUSE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
def(__ZTC__),
def(PM3D),
(def(VMS)&!def(MSDOS)),
def(VMS),
True,
!def(lint),
def(PIPE_IPC),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
!def(MSDOS),
def(_Windows),
def(RELEASE_VERSION),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(MSDOS),
def(TEST_TERMDOC),
def(BITMAPDEBUG),
