!def(HAVE_ERFC),
def(__ZTC__),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(PIPES),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
True,
!def(RELEASE_VERSION),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(VMS),
def(BADRAND),
!def(MSDOS),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
!def(lint),
def(RELEASE_VERSION),
!def(LITE),
!def(HAVE_ERF),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
