!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
!def(PROTOTYPES),
def(PM3D),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
True,
(def(VMS)&!def(BSD)),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(lint),
def(MSDOS),
!def(RELEASE_VERSION),
def(VMS),
def(USE_MOUSE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERFC),
def(__ZTC__),
def(PROTOTYPES),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(LITE),
def(BADRAND),
def(_Windows),
!def(HAVE_ERF),
def(TEST_STRFTIME),
