!def(MSDOS),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(__ZTC__),
def(BITMAPDEBUG),
True,
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
def(MSDOS),
(def(X11)&def(USE_MOUSE)),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
def(BADRAND),
def(VMS),
def(TEST_TIME),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
!def(LITE),
!def(BADRAND),
def(NO_LOCALE_H),
!def(lint),
def(PIPE_IPC),
!def(NO_LOCALE_H),
def(PM3D),
(def(VMS)&!def(BSD)),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
def(PIPES),
