def(USE_SYSTEM_TIME),
def(__ZTC__),
def(MSDOS),
!def(LITE),
def(TEST_TERMDOC),
def(BADRAND),
def(TEST_TIME),
def(TEST_STRFTIME),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
def(PIPE_IPC),
!def(PROTOTYPES),
def(USE_MOUSE),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
!def(MSDOS),
!def(HAVE_ERFC),
def(PIPES),
def(_Windows),
def(PROTOTYPES),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
def(PM3D),
!def(HAVE_ERF),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
True,
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
