!def(MSDOS),
def(MSDOS),
def(TEST_TERMDOC),
def(AMIGA_AC_5),
!def(AMIGA_SC_6_1),
!def(RELEASE_VERSION),
def(PIPES),
def(GP_MACROS),
(!def(PIPE_IPC)&def(__ZTC__)),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&!def(LITE)),
!def(__PUREC__),
!def(OLDUNSETTICS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(USE_SYSTEM_TIME),
def(_Windows),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
(def(VMS)&!def(BSD)),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(PIPE_IPC)&def(VMS)),
def(WITH_IMAGE),
def(OLDUNSETTICS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(WITH_IMAGE),
def(GNUPLOT_HISTORY),
def(EXTENDED_COLOR_SPECS),
def(PM3D),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(EXTENDED_COLOR_SPECS),
!def(lint),
!def(LITE),
!def(GNUPLOT_HISTORY),
def(PIPE_IPC),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(GP_STRING_VARS),
def(__PUREC__),
!def(GP_STRING_VARS),
def(EAM_DATASTRINGS),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
def(USE_MOUSE),
!def(EAM_HISTOGRAMS),
!def(HAVE_LOCALE_H),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(BACKWARDS_COMPATIBLE),
!def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(EAM_OBJECTS),
!def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(GPLT_X11_MODE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(EAM_HISTOGRAMS),
def(HAVE_LOCALE_H),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
(def(VMS)&!def(MSDOS)),
!def(BINARY_DATA_FILE),
def(BITMAPDEBUG),
