!def(BADRAND),
!def(LITE),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
True,
!def(HAVE_ERF),
def(USE_SYSTEM_TIME),
def(BADRAND),
!def(lint),
def(BITMAPDEBUG),
def(MSDOS),
def(TEST_TIME),
def(VMS),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(__ZTC__),
!def(BITMAPDEBUG),
def(NO_LOCALE_H),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
!def(MSDOS),
def(PIPES),
