(def(X11)&def(USE_MOUSE)),
!def(RELEASE_VERSION),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(BADRAND),
!def(LITE),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(lint),
def(RELEASE_VERSION),
!def(NO_LOCALE_H),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PIPES),
def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(MSDOS),
def(__ZTC__),
def(VMS),
def(_Windows),
(def(VMS)&!def(BSD)),
def(PM3D),
True,
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(HAVE_ERF),
def(TEST_TIME),
!def(HAVE_ERFC),
!def(MSDOS),
