!def(RELEASE_VERSION),
!def(HAVE_ERF),
def(TEST_TIME),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
def(PM3D),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
def(NO_LOCALE_H),
def(PIPES),
!def(LITE),
def(VMS),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(PIPE_IPC),
(def(X11)&def(USE_MOUSE)),
!def(lint),
def(__ZTC__),
def(_Windows),
def(MSDOS),
!def(NO_LOCALE_H),
True,
def(BADRAND),
!def(MSDOS),
