!def(BITMAPDEBUG),
def(BITMAPDEBUG),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(_Windows),
def(TEST_TIME),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
def(MSDOS),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PROTOTYPES),
!def(PROTOTYPES),
def(PIPES),
def(PIPE_IPC),
def(TEST_TERMDOC),
!def(MSDOS),
def(PM3D),
!def(GP_ISVAR),
def(VMS),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
