def(TEST_TIME),
def(BADRAND),
def(BITMAPDEBUG),
!def(GP_ISVAR),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
!def(LITE),
def(PIPE_IPC),
True,
def(__ZTC__),
!def(MSDOS),
def(USE_MOUSE),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERFC),
def(PM3D),
def(RELEASE_VERSION),
!def(BADRAND),
!def(lint),
def(VMS),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
!def(PROTOTYPES),
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
def(PROTOTYPES),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(USE_SYSTEM_TIME),
def(_Windows),
