!def(BADRAND),
def(_Windows),
def(TEST_TIME),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(MSDOS),
def(__ZTC__),
def(BADRAND),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
def(PIPES),
!def(lint),
def(RELEASE_VERSION),
def(TEST_STRFTIME),
True,
!def(MSDOS),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
def(VMS),
def(NO_LOCALE_H),
!def(RELEASE_VERSION),
!def(HAVE_ERF),
!def(LITE),
