!def(RELEASE_VERSION),
!def(BADRAND),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
def(PIPE_IPC),
def(MSDOS),
def(NO_LOCALE_H),
def(_Windows),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(TEST_TERMDOC),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(lint),
def(VMS),
!def(USE_SYSTEM_TIME),
def(PM3D),
def(TEST_STRFTIME),
True,
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
!def(LITE),
!def(HAVE_ERFC),
(def(X11)&def(USE_MOUSE)),
(!def(MSDOS)&!def(VMS)),
def(__ZTC__),
def(BITMAPDEBUG),
def(BADRAND),
