!def(EAM_HISTOGRAMS),
def(PM3D),
!def(GPLT_X11_MODE),
!def(BINARY_DATA_FILE),
def(USE_SYSTEM_TIME),
True,
!def(WITH_IMAGE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(EAM_OBJECTS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(GP_STRING_VARS),
!def(RELEASE_VERSION),
!def(HAVE_LOCALE_H),
!def(EXTENDED_COLOR_SPECS),
def(GP_MACROS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(__PUREC__),
(!def(PIPE_IPC)&def(VMS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(USE_SYSTEM_TIME),
(!def(PIPE_IPC)&def(__ZTC__)),
def(EAM_HISTOGRAMS),
def(OLDUNSETTICS),
def(RELEASE_VERSION),
def(EXTENDED_COLOR_SPECS),
def(USE_MOUSE),
def(PIPE_IPC),
def(TEST_STRFTIME),
def(GNUPLOT_HISTORY),
def(TEST_TIME),
def(HAVE_LOCALE_H),
(!def(AMIGA_SC_6_1)&!def(LITE)),
!def(LITE),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
!def(__PUREC__),
def(PIPES),
def(MSDOS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
!def(GNUPLOT_HISTORY),
def(WITH_IMAGE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(OLDUNSETTICS),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
def(BACKWARDS_COMPATIBLE),
def(BINARY_DATA_FILE),
def(_Windows),
!def(AMIGA_SC_6_1),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(EAM_DATASTRINGS),
def(AMIGA_AC_5),
!def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(lint),
