(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
def(MSDOS),
def(PIPES),
!def(HAVE_ERF),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
def(__ZTC__),
!def(LITE),
def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(BADRAND),
!def(HAVE_ERFC),
!def(lint),
def(BADRAND),
(def(VMS)&!def(BSD)),
!def(MSDOS),
True,
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(TEST_TIME),
def(NO_LOCALE_H),
def(VMS),
