!def(MSDOS),
def(NO_LOCALE_H),
def(SYSTEM_TIME),
!def(SYSTEM_TIME),
def(VMS),
!def(BADRAND),
def(TEST_STRFTIME),
True,
!def(LITE),
def(vms),
(!def(__ZTC__)&!def(vms)),
!def(NO_LOCALE_H),
def(BADRAND),
!def(lint),
def(LITE),
def(TEST_TIME),
(def(__TURBOC__)&!def(__ZTC__)&!def(_Windows)),
def(unix),
!def(HAVE_ERF),
