def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
True,
def(MSDOS),
def(VMS),
!def(LITE),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
!def(HAVE_ERF),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
def(BADRAND),
def(_Windows),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(MSDOS),
!def(HAVE_ERFC),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(BITMAPDEBUG),
