def(BADRAND),
def(PIPES),
def(BITMAPDEBUG),
def(VMS),
!def(MSDOS),
!def(HAVE_ERFC),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(_Windows),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(LITE),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
!def(lint),
!def(LITE),
