!def(NO_LOCALE_H),
!def(lint),
!def(HAVE_ERFC),
def(BITMAPDEBUG),
def(_Windows),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
!def(MSDOS),
def(BADRAND),
True,
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(VMS),
!def(HAVE_ERF),
def(MSDOS),
def(PIPES),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
def(__ZTC__),
