!def(BITMAPDEBUG),
def(__ZTC__),
def(PROTOTYPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
def(VMS),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
def(RELEASE_VERSION),
!def(MSDOS),
!def(lint),
def(USE_SYSTEM_TIME),
def(BADRAND),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(HAVE_ERFC),
def(MSDOS),
True,
def(PM3D),
!def(USE_SYSTEM_TIME),
!def(PROTOTYPES),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
!def(RELEASE_VERSION),
def(USE_MOUSE),
def(BITMAPDEBUG),
def(TEST_TIME),
!def(HAVE_ERF),
