!def(AMIGA_SC_6_1),
def(PM3D),
!def(lint),
def(PIPE_IPC),
True,
!def(MSDOS),
def(TEST_STRFTIME),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
def(PROTOTYPES),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(BITMAPDEBUG),
!def(PROTOTYPES),
def(BITMAPDEBUG),
!def(GP_ISVAR),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(PIPES),
def(TEST_TIME),
def(_Windows),
def(VMS),
def(MSDOS),
!def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
