def(BADRAND),
(!def(MSDOS)&!def(VMS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
!def(HAVE_ERFC),
!def(BADRAND),
def(PM3D),
!def(NO_LOCALE_H),
def(__ZTC__),
!def(LITE),
!def(RELEASE_VERSION),
!def(HAVE_ERF),
def(_Windows),
def(NO_LOCALE_H),
def(TEST_TIME),
def(PIPE_IPC),
!def(BITMAPDEBUG),
(def(X11)&def(USE_MOUSE)),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)),
def(VMS),
!def(lint),
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
True,
def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
