!def(BADRAND),
!def(LITE),
!def(MSDOS),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(LITE),
!def(USE_SYSTEM_TIME),
def(VMS),
def(NO_LOCALE_H),
def(TEST_TIME),
def(PIPES),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
!def(HAVE_ERF),
def(BADRAND),
True,
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
def(MSDOS),
def(__ZTC__),
!def(NO_LOCALE_H),
