def(EAM_DATASTRINGS),
def(TEST_TIME),
def(_Windows),
def(BINARY_DATA_FILE),
!def(lint),
def(__PUREC__),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(MSDOS),
def(AMIGA_AC_5),
def(PIPES),
(!def(PIPE_IPC)&def(__ZTC__)),
def(GP_STRING_VARS),
!def(MSDOS),
True,
(def(VMS)&!def(BSD)),
!def(LITE),
def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(__PUREC__),
!def(BINARY_DATA_FILE),
(!def(PIPE_IPC)&def(VMS)),
def(PM3D),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(EAM_HISTOGRAMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(USE_MOUSE),
!def(AMIGA_SC_6_1),
def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(APOLLO)&def(GP_STRING_VARS)),
(!def(MSDOS)&!def(VMS)),
!def(RELEASE_VERSION),
def(PIPE_IPC),
def(EAM_HISTOGRAMS),
!def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
!def(USE_SYSTEM_TIME),
