!def(PROTOTYPES),
def(TEST_TERMDOC),
def(PM3D),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
!def(LITE),
def(VMS),
(def(VMS)&!def(MSDOS)),
def(_Windows),
def(TEST_TIME),
!def(HAVE_ERFC),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
def(BADRAND),
def(__ZTC__),
!def(HAVE_ERF),
!def(BADRAND),
!def(USE_SYSTEM_TIME),
!def(lint),
def(BITMAPDEBUG),
def(MSDOS),
!def(BITMAPDEBUG),
def(USE_MOUSE),
def(USE_SYSTEM_TIME),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PROTOTYPES),
!def(RELEASE_VERSION),
!def(MSDOS),
def(PIPES),
