!def(LITE),
!def(MSDOS),
def(_Windows),
(!def(_Windows)&def(__TURBOC__)),
def(UNIXPLOT),
def(TEST_TIME),
!def(lint),
def(__ZTC__),
def(LITE),
!def(NO_LOCALE_H),
def(SYSTEM_TIME),
def(TEST_TERMDOC),
def(HAVE_SYS_UTSNAME_H),
def(VMS),
def(DJGPP),
True,
def(TEST_STRFTIME),
!def(OSK),
def(NO_LOCALE_H),
!def(SYSTEM_TIME),
