!def(MSDOS),
def(TEST_TERMDOC),
def(RELEASE_VERSION),
def(TEST_TIME),
def(_Windows),
def(MSDOS),
!def(RELEASE_VERSION),
def(VMS),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
!def(PROTOTYPES),
!def(lint),
!def(LITE),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
True,
(def(VMS)&!def(MSDOS)),
def(PIPE_IPC),
def(USE_MOUSE),
(def(VMS)&!def(BSD)),
def(PM3D),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PIPES),
def(PROTOTYPES),
!def(GP_ISVAR),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
