def(GP_STRING_VARS),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
!def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(GNUPLOT_HISTORY),
def(TEST_TERMDOC),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(EAM_HISTOGRAMS),
!def(__PUREC__),
(!def(MSDOS)&!def(VMS)),
def(PM3D),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(AMIGA_AC_5),
def(PIPE_IPC),
def(GP_MACROS),
!def(EAM_HISTOGRAMS),
def(EXTENDED_COLOR_SPECS),
!def(HAVE_LOCALE_H),
!def(GNUPLOT_HISTORY),
(!def(PIPE_IPC)&def(VMS)),
def(RELEASE_VERSION),
def(WITH_IMAGE),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
!def(MSDOS),
def(BITMAPDEBUG),
!def(OLDUNSETTICS),
def(EAM_OBJECTS),
def(PIPES),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(EXTENDED_COLOR_SPECS),
!def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(MSDOS)),
!def(RELEASE_VERSION),
def(_Windows),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
!def(WITH_IMAGE),
(!def(AMIGA_SC_6_1)&!def(LITE)),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
def(OLDUNSETTICS),
def(HAVE_LOCALE_H),
def(__PUREC__),
True,
def(BACKWARDS_COMPATIBLE),
def(EAM_DATASTRINGS),
def(TEST_TIME),
!def(AMIGA_SC_6_1),
def(MSDOS),
(def(VMS)&!def(BSD)),
def(BINARY_DATA_FILE),
!def(GPLT_X11_MODE),
