def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
!def(MSDOS),
!def(lint),
def(BADRAND),
def(USE_SYSTEM_TIME),
!def(LITE),
!def(HAVE_ERFC),
def(TEST_STRFTIME),
!def(NO_LOCALE_H),
def(TEST_TERMDOC),
!def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(MSDOS)),
True,
def(MSDOS),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
def(BITMAPDEBUG),
def(LITE),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(__ZTC__),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
