!def(BADRAND),
def(USE_MOUSE),
def(TEST_TIME),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(BADRAND),
def(__ZTC__),
def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(VMS),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(_Windows),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(PIPE_IPC),
def(PM3D),
def(PIPES),
!def(lint),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
!def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(HAVE_ERFC),
!def(NO_LOCALE_H),
!def(MSDOS),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
