(def(X11)&def(USE_MOUSE)),
(def(VMS)&!def(MSDOS)),
def(VMS),
def(PIPE_IPC),
!def(lint),
!def(BADRAND),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
def(BADRAND),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
True,
!def(HAVE_ERFC),
def(__ZTC__),
def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(_Windows),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(TEST_TIME),
def(BITMAPDEBUG),
def(PIPES),
def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(MSDOS),
