!def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(TEST_TIME),
def(_Windows),
def(PM3D),
!def(BITMAPDEBUG),
def(MSDOS),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
!def(lint),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
!def(MSDOS),
def(USE_MOUSE),
(def(VMS)&!def(MSDOS)),
!def(LITE),
def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(__ZTC__),
!def(HAVE_ERF),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BADRAND),
!def(BADRAND),
