!def(HAVE_ERF),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
def(VMS),
True,
def(BADRAND),
def(TEST_TERMDOC),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
!def(lint),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
def(MSDOS),
def(TEST_STRFTIME),
def(TEST_TIME),
!def(HAVE_ERFC),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
def(PIPES),
def(LITE),
