!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
!def(LITE),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
!def(RELEASE_VERSION),
def(VMS),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
!def(lint),
!def(MSDOS),
def(TEST_STRFTIME),
def(__ZTC__),
def(TEST_TIME),
def(_Windows),
True,
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
def(BADRAND),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(BADRAND),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERF),
