!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(_Windows),
!def(RELEASE_VERSION),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
!def(BADRAND),
def(PM3D),
def(TEST_TIME),
def(BADRAND),
def(BITMAPDEBUG),
def(__ZTC__),
(def(VMS)&!def(BSD)),
!def(HAVE_ERF),
def(PIPES),
!def(LITE),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
def(RELEASE_VERSION),
def(MSDOS),
(def(X11)&def(USE_MOUSE)),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
def(VMS),
!def(MSDOS),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
