!def(NO_LOCALE_H),
def(VMS),
(def(VMS)&!def(BSD)),
def(BADRAND),
def(TEST_STRFTIME),
def(PIPE_IPC),
def(MSDOS),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
def(PM3D),
True,
def(USE_SYSTEM_TIME),
def(PIPES),
def(USE_MOUSE),
def(__ZTC__),
!def(lint),
!def(LITE),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
!def(MSDOS),
def(NO_LOCALE_H),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERFC),
def(RELEASE_VERSION),
def(_Windows),
def(TEST_TIME),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
