(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(PIPE_IPC)&def(VMS)),
def(EAM_HISTOGRAMS),
!def(MSDOS),
def(EAM_DATASTRINGS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(EAM_HISTOGRAMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
(def(VMS)&!def(BSD)),
def(RELEASE_VERSION),
def(AMIGA_AC_5),
def(TEST_TERMDOC),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(PIPE_IPC),
def(GP_STRING_VARS),
!def(LITE),
def(GP_MACROS),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(MSDOS)),
def(BITMAPDEBUG),
(!def(APOLLO)&def(GP_STRING_VARS)),
!def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
True,
def(__PUREC__),
def(BINARY_DATA_FILE),
!def(BINARY_DATA_FILE),
def(TEST_TIME),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
!def(__PUREC__),
def(MSDOS),
def(PIPES),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(lint),
