(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(BITMAPDEBUG),
def(PIPE_IPC),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(MSDOS),
(def(VMS)&!def(BSD)),
!def(lint),
def(BITMAPDEBUG),
!def(AMIGA_SC_6_1),
def(TEST_TIME),
True,
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
!def(PROTOTYPES),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(TEST_STRFTIME),
def(PROTOTYPES),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
!def(GP_ISVAR),
def(_Windows),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
def(PM3D),
