!def(HAVE_ERFC),
def(USE_MOUSE),
def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PM3D),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(USE_SYSTEM_TIME),
def(PIPES),
!def(lint),
!def(BADRAND),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
def(_Windows),
def(NO_LOCALE_H),
def(PIPE_IPC),
def(VMS),
def(MSDOS),
!def(NO_LOCALE_H),
!def(HAVE_ERF),
def(__ZTC__),
True,
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(LITE),
!def(MSDOS),
def(RELEASE_VERSION),
