!def(RELEASE_VERSION),
def(NO_LOCALE_H),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
!def(lint),
def(_Windows),
def(TEST_TIME),
!def(MSDOS),
def(PIPE_IPC),
def(USE_MOUSE),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
(def(VMS)&!def(BSD)),
def(PM3D),
!def(HAVE_ERFC),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
!def(BADRAND),
def(VMS),
def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(BADRAND),
def(BITMAPDEBUG),
!def(LITE),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
True,
def(MSDOS),
!def(HAVE_ERF),
