!def(RELEASE_VERSION),
!def(GP_ISVAR),
def(TEST_STRFTIME),
def(__ZTC__),
def(VMS),
!def(LITE),
def(PIPES),
!def(USE_SYSTEM_TIME),
True,
!def(PROTOTYPES),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
def(USE_MOUSE),
def(TEST_TERMDOC),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(PM3D),
!def(MSDOS),
(def(VMS)&!def(BSD)),
def(PROTOTYPES),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TIME),
def(PIPE_IPC),
!def(lint),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
