!def(GP_ISVAR),
def(USE_SYSTEM_TIME),
def(PROTOTYPES),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
def(PIPES),
def(MSDOS),
True,
!def(lint),
def(PM3D),
def(TEST_TERMDOC),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
def(VMS),
def(USE_MOUSE),
!def(LITE),
def(_Windows),
!def(RELEASE_VERSION),
def(TEST_STRFTIME),
def(__ZTC__),
!def(PROTOTYPES),
!def(USE_SYSTEM_TIME),
