!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(RELEASE_VERSION),
!def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
!def(PROTOTYPES),
(!def(PIPE_IPC)&def(VMS)),
!def(lint),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
def(USE_MOUSE),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BITMAPDEBUG),
def(TEST_TIME),
def(PM3D),
!def(GP_ISVAR),
def(MSDOS),
def(PIPES),
!def(AMIGA_SC_6_1),
def(PROTOTYPES),
def(PIPE_IPC),
!def(RELEASE_VERSION),
True,
def(TEST_STRFTIME),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(TEST_TERMDOC),
