def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(_Windows),
def(PIPE_IPC),
def(TEST_STRFTIME),
(!def(MSDOS)&!def(VMS)),
def(USE_SYSTEM_TIME),
!def(lint),
!def(BITMAPDEBUG),
def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BADRAND),
def(TEST_TERMDOC),
def(__ZTC__),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
!def(LITE),
def(RELEASE_VERSION),
!def(BADRAND),
def(VMS),
!def(NO_LOCALE_H),
(def(X11)&def(USE_MOUSE)),
def(BITMAPDEBUG),
def(PM3D),
def(PIPES),
!def(MSDOS),
def(TEST_TIME),
!def(HAVE_ERF),
True,
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
