!def(lint),
def(PM3D),
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
(!def(PIPE_IPC)&def(__ZTC__)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
def(AMIGA_AC_5),
!def(EAM_HISTOGRAMS),
(def(VMS)&!def(BSD)),
def(MSDOS),
(!def(PIPE_IPC)&def(VMS)),
!def(RELEASE_VERSION),
def(__PUREC__),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(GP_STRING_VARS),
def(USE_MOUSE),
def(BINARY_DATA_FILE),
(!def(APOLLO)&def(GP_STRING_VARS)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_STRFTIME),
def(GP_MACROS),
def(EAM_HISTOGRAMS),
!def(__PUREC__),
def(_Windows),
!def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
def(BITMAPDEBUG),
def(TEST_TIME),
!def(MSDOS),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
def(EAM_DATASTRINGS),
