!def(HAVE_ERF),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(VMS),
def(BADRAND),
def(_Windows),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
!def(USE_SYSTEM_TIME),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
!def(LITE),
!def(HAVE_ERFC),
def(__ZTC__),
True,
def(BITMAPDEBUG),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(TEST_STRFTIME),
def(NO_LOCALE_H),
!def(lint),
