def(__ZTC__),
!def(lint),
def(_Windows),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
(def(X11)&def(USE_MOUSE)),
def(BITMAPDEBUG),
!def(HAVE_ERF),
!def(MSDOS),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(RELEASE_VERSION),
!def(HAVE_ERFC),
def(MSDOS),
(def(VMS)&!def(BSD)),
!def(BADRAND),
def(PIPE_IPC),
def(PM3D),
!def(BITMAPDEBUG),
def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(VMS),
def(BADRAND),
def(PIPES),
def(TEST_TIME),
True,
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
