!def(BADRAND),
!def(HAVE_ERF),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
def(VMS),
def(PIPES),
!def(lint),
!def(MSDOS),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(X11)&def(USE_MOUSE)),
def(BADRAND),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
True,
def(PIPE_IPC),
def(_Windows),
(!def(MSDOS)&!def(VMS)),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
!def(LITE),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(BITMAPDEBUG),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
def(PM3D),
