!def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERF),
!def(HAVE_ERFC),
!def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
!def(LITE),
def(PIPE_IPC),
!def(PROTOTYPES),
!def(RELEASE_VERSION),
def(PM3D),
def(BITMAPDEBUG),
def(USE_MOUSE),
def(__ZTC__),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
def(TEST_TERMDOC),
def(_Windows),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
!def(USE_SYSTEM_TIME),
def(PIPES),
!def(lint),
def(BADRAND),
def(TEST_STRFTIME),
def(PROTOTYPES),
def(VMS),
def(RELEASE_VERSION),
!def(MSDOS),
(!def(MSDOS)&!def(VMS)),
