!def(USE_SYSTEM_TIME),
def(LITE),
def(VMS),
!def(MSDOS),
def(BITMAPDEBUG),
True,
def(TEST_STRFTIME),
!def(lint),
!def(LITE),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERF),
def(TEST_TIME),
def(MSDOS),
def(NO_LOCALE_H),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
def(BADRAND),
def(USE_SYSTEM_TIME),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
def(_Windows),
!def(BITMAPDEBUG),
def(__ZTC__),
