!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
!def(LITE),
def(PIPE_IPC),
!def(HAVE_ERFC),
def(PIPES),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(MSDOS),
def(BITMAPDEBUG),
True,
def(PM3D),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)),
def(BADRAND),
!def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
!def(HAVE_ERF),
def(_Windows),
!def(BADRAND),
(def(VMS)&!def(BSD)),
(def(X11)&def(USE_MOUSE)),
def(NO_LOCALE_H),
!def(lint),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
def(VMS),
