!def(lint),
!def(PROTOTYPES),
def(__ZTC__),
!def(MSDOS),
def(BADRAND),
!def(HAVE_ERFC),
def(PROTOTYPES),
!def(BADRAND),
def(PIPES),
!def(RELEASE_VERSION),
!def(HAVE_ERF),
def(PIPE_IPC),
!def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
def(USE_MOUSE),
def(TEST_STRFTIME),
def(VMS),
!def(LITE),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PM3D),
def(TEST_TIME),
def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(BSD)),
def(TEST_TERMDOC),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
