!def(BADRAND),
!def(USE_SYSTEM_TIME),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
(def(VMS)&!def(MSDOS)),
True,
!def(HAVE_ERF),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
def(BADRAND),
!def(RELEASE_VERSION),
!def(LITE),
def(TEST_TIME),
def(BITMAPDEBUG),
!def(HAVE_ERFC),
!def(MSDOS),
def(NO_LOCALE_H),
def(TEST_TERMDOC),
def(VMS),
def(USE_MOUSE),
def(MSDOS),
def(TEST_STRFTIME),
!def(NO_LOCALE_H),
def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
def(PIPE_IPC),
def(_Windows),
def(PIPES),
(def(VMS)&!def(BSD)),
!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
