def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
def(TEST_TERMDOC),
def(PIPE_IPC),
def(BADRAND),
def(BITMAPDEBUG),
def(PM3D),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
!def(lint),
def(USE_MOUSE),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
True,
def(PIPES),
!def(RELEASE_VERSION),
def(TEST_TIME),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
!def(BADRAND),
!def(HAVE_ERF),
def(__ZTC__),
!def(LITE),
def(VMS),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(USE_SYSTEM_TIME),
def(_Windows),
